Inserted 100000 prefixes into trie
match rule 69841, reject
match rule 48114, permit
match rule 44787, permit
match rule 54514, permit
match rule 50376, permit
match rule 47688, reject
match rule 41229, permit
match rule 53527, reject
match rule 22077, reject
match rule 66503, reject
match rule 42708, permit
match rule 35315, permit
match rule 49958, permit
match rule 43768, permit
match rule 12485, permit
match rule 63212, reject
match rule 18591, permit
match rule 53739, permit
match rule 44261, permit
match rule 10633, reject
match rule 5414, reject
match rule 35948, permit
match rule 10228, permit
match rule 663, permit
match rule 55265, permit
match rule 63239, permit
match rule 3021, reject
match rule 54654, permit
match rule 22780, reject
match rule 48634, reject
match rule 26425, reject
match rule 53672, reject
match rule 83225, reject
match rule 64161, permit
match rule 1833, permit
match rule 56326, permit
match rule 39626, reject
match rule 20927, permit
match rule 42528, permit
match rule 34870, reject
match rule 20787, reject
match rule 78518, reject
match rule 6170, reject
match rule 22965, reject
match rule 81246, permit
match rule 34562, permit
match rule 40024, permit
match rule 74772, permit
match rule 40398, permit
match rule 23490, reject
match rule 81468, reject
match rule 25327, permit
match rule 70915, permit
match rule 58975, permit
match rule 40351, reject
match rule 21727, permit
match rule 4254, permit
match rule 13606, permit
match rule 33332, reject
match rule 9491, permit
match rule 14648, reject
match rule 33067, permit
match rule 55307, permit
match rule 2445, permit
match rule 57626, reject
match rule 77637, reject
match rule 22159, reject
match rule 32856, permit
match rule 82169, reject
match rule 29253, permit
match rule 49360, reject
match rule 5388, reject
match rule 39812, reject
match rule 70952, reject
match rule 21941, reject
match rule 4601, reject
match rule 45871, permit
match rule 66982, permit
match rule 7579, reject
match rule 27484, reject
match rule 18852, reject
match rule 67619, reject
match rule 89292, reject
match rule 10413, reject
match rule 20964, reject
match rule 53002, permit
match rule 1484, permit
match rule 79887, permit
match rule 76637, permit
match rule 10913, reject
match rule 19437, reject
match rule 38073, reject
match rule 45793, permit
match rule 24577, permit
match rule 70098, reject
match rule 56680, reject
match rule 71275, permit
match rule 7561, permit
match rule 58643, reject
match rule 28012, reject
match rule 16190, reject
match rule 3156, permit
match rule 15255, permit
match rule 81745, reject
match rule 62768, permit
match rule 50267, permit
match rule 48653, permit
match rule 56680, reject
match rule 29320, permit
match rule 46657, reject
match rule 55410, permit
match rule 14271, reject
match rule 79914, reject
match rule 68910, reject
match rule 25870, permit
match rule 16995, reject
match rule 66053, permit
match rule 38352, permit
match rule 1076, permit
match rule 62236, permit
match rule 36308, reject
match rule 34604, reject
match rule 56695, reject
match rule 55604, permit
match rule 41768, permit
match rule 39759, permit
match rule 34611, reject
match rule 7606, permit
match rule 39859, reject
match rule 51559, reject
match rule 73290, permit
match rule 42623, reject
match rule 76672, permit
match rule 50199, reject
match rule 48943, permit
match rule 9639, permit
match rule 77084, reject
match rule 25165, reject
match rule 58015, reject
match rule 37580, reject
match rule 18993, reject
match rule 18337, reject
match rule 36805, permit
match rule 14729, permit
match rule 56184, permit
match rule 16505, reject
match rule 68153, permit
match rule 63620, reject
match rule 35628, permit
match rule 48634, reject
match rule 6440, reject
match rule 55780, permit
match rule 48773, permit
match rule 30459, permit
match rule 82742, permit
match rule 10217, permit
match rule 375, permit
match rule 26080, reject
match rule 53737, reject
match rule 73012, reject
match rule 43077, reject
match rule 19282, permit
match rule 2981, reject
match rule 45098, permit
match rule 9935, permit
match rule 78269, reject
match rule 9912, permit
match rule 4579, reject
match rule 46133, permit
match rule 60607, reject
match rule 61646, reject
match rule 41555, reject
match rule 37292, permit
match rule 20797, permit
match rule 49013, permit
match rule 55680, reject
match rule 17477, permit
match rule 53650, permit
match rule 2412, reject
match rule 8671, permit
match rule 56550, reject
match rule 80782, permit
match rule 68336, reject
match rule 22429, reject
match rule 68074, reject
match rule 4748, reject
match rule 62981, reject
match rule 45495, permit
match rule 18, reject
match rule 41703, permit
match rule 46589, reject
match rule 4970, permit
match rule 69342, permit
match rule 7907, reject
match rule 90663, reject
match rule 58156, reject
match rule 19564, reject
match rule 12273, permit
match rule 69616, permit
match rule 23091, reject
match rule 2759, permit
match rule 42462, reject
match rule 43116, permit
match rule 38107, permit
match rule 8300, reject
match rule 56247, permit
match rule 58770, permit
match rule 32783, reject
match rule 55613, permit
match rule 12657, reject
match rule 30479, reject
match rule 14369, reject
match rule 47688, reject
match rule 4462, reject
match rule 48236, permit
match rule 7893, permit
match rule 22148, reject
match rule 77637, reject
match rule 68059, permit
match rule 49722, permit
match rule 16527, reject
match rule 27905, permit
match rule 5358, reject
match rule 32531, permit
match rule 85235, permit
match rule 2787, reject
match rule 40320, permit
match rule 62628, reject
match rule 40367, reject
match rule 13187, reject
match rule 14627, permit
match rule 57045, reject
match rule 20137, reject
match rule 76034, permit
match rule 80235, reject
match rule 63777, permit
match rule 14075, reject
match rule 66289, reject
match rule 50740, permit
match rule 67972, permit
match rule 51739, permit
match rule 90944, permit
match rule 34469, permit
match rule 54677, permit
match rule 34800, reject
match rule 24565, permit
match rule 10718, permit
match rule 50459, reject
match rule 12856, reject
match rule 25357, reject
match rule 49036, permit
match rule 6161, permit
match rule 26710, reject
match rule 21232, permit
match rule 71568, permit
match rule 4170, permit
match rule 71942, reject
match rule 56703, permit
match rule 16195, reject
match rule 84400, permit
match rule 1146, reject
match rule 15536, reject
match rule 61560, reject
match rule 39292, reject
match rule 16336, permit
match rule 13332, permit
match rule 75916, permit
match rule 5710, permit
match rule 29399, permit
match rule 22248, permit
match rule 68336, reject
match rule 37377, reject
match rule 1076, permit
match rule 50551, reject
match rule 43040, reject
match rule 13507, permit
match rule 34972, permit
match rule 24707, reject
match rule 64894, reject
match rule 43077, reject
match rule 55507, permit
match rule 81621, permit
match rule 27476, permit
match rule 51902, permit
match rule 62628, reject
match rule 75783, permit
match rule 54521, reject
match rule 6995, permit
match rule 1745, permit
match rule 23862, permit
match rule 32860, permit
match rule 24664, permit
match rule 663, permit
match rule 68199, permit
match rule 24675, permit
match rule 55265, permit
match rule 55961, permit
match rule 35948, permit
match rule 44313, reject
match rule 51521, reject
match rule 66374, reject
match rule 43871, reject
match rule 15382, permit
match rule 29500, permit
match rule 11759, permit
match rule 23877, permit
match rule 1706, permit
match rule 10473, reject
match rule 7370, reject
match rule 2082, reject
match rule 84273, reject
match rule 1144, permit
match rule 27737, reject
match rule 76538, reject
match rule 11164, reject
match rule 24232, reject
match rule 49927, permit
match rule 41768, permit
match rule 37727, reject
match rule 6935, permit
match rule 23447, permit
match rule 79590, reject
match rule 66459, reject
match rule 60480, reject
match rule 35884, reject
match rule 76081, permit
match rule 244, reject
match rule 52596, permit
match rule 11671, reject
match rule 14223, reject
match rule 68912, permit
match rule 30459, permit
match rule 46698, permit
match rule 79003, reject
match rule 35079, reject
match rule 38536, permit
match rule 70619, permit
match rule 57017, permit
match rule 52965, permit
match rule 7364, reject
match rule 1371, reject
match rule 50551, reject
match rule 3147, reject
match rule 19113, permit
match rule 33872, reject
match rule 21169, permit
match rule 34604, reject
match rule 42031, permit
match rule 5590, permit
match rule 24207, permit
match rule 9935, permit
match rule 9489, reject
match rule 24477, permit
match rule 84625, reject
match rule 29320, permit
match rule 94, permit
match rule 31963, permit
match rule 37710, reject
match rule 17384, reject
match rule 56247, permit
match rule 49232, permit
match rule 84289, permit
match rule 68446, permit
match rule 66279, permit
match rule 1588, reject
match rule 29320, permit
match rule 13801, reject
match rule 53998, permit
match rule 54929, permit
match rule 12400, permit
match rule 42031, permit
match rule 31395, permit
match rule 24548, reject
match rule 32002, reject
match rule 36070, reject
match rule 21335, reject
match rule 64601, reject
match rule 9501, permit
match rule 15650, reject
match rule 12997, permit
match rule 84101, reject
match rule 84360, reject
match rule 24176, permit
match rule 51703, permit
match rule 36778, reject
match rule 29352, permit
match rule 13289, reject
match rule 451, permit
match rule 26713, reject
match rule 31532, reject
match rule 3206, permit
match rule 18208, permit
match rule 57045, reject
match rule 50953, permit
match rule 26439, reject
match rule 54514, permit
match rule 77910, reject
match rule 26549, reject
match rule 62785, permit
